probleme,execution,sequentielle,para2,para4,para8,para16
pb2,1,0.001996,0.001228,0.000742,0.000744,0.001802
pb2,2,0.002809,0.001391,0.000691,0.000560,0.002815
pb2,3,0.002983,0.001595,0.003554,0.000540,0.001632
pb2,4,0.002993,0.001456,0.000543,0.000531,0.001489
pb2,5,0.001609,0.001071,0.000493,0.000516,0.001379
pb2,6,0.001608,0.001641,0.000820,0.000532,0.001430
pb2,7,0.001644,0.000950,0.000488,0.000527,0.001564
pb2,8,0.001612,0.000953,0.000491,0.000651,0.001419
pb2,9,0.001643,0.000935,0.000595,0.000519,0.001537
pb2,10,0.001605,0.000932,0.000501,0.000511,0.001381
pb2,11,0.001608,0.000922,0.000501,0.000512,0.001334
pb2,12,0.001651,0.000957,0.000516,0.000513,0.001378
pb2,13,0.001633,0.000941,0.000503,0.000514,0.001391
pb2,14,0.001617,0.000925,0.000493,0.000512,0.001495
pb2,15,0.001609,0.000929,0.000502,0.000512,0.001459
pb2,16,0.001609,0.000938,0.000497,0.000508,0.001433
pb2,17,0.001604,0.000942,0.000503,0.000513,0.001485
pb2,18,0.001605,0.000962,0.000501,0.000516,0.001365
pb2,19,0.001622,0.000918,0.000503,0.000521,0.001381
pb2,20,0.001626,0.000937,0.000474,0.000524,0.001498
pb2,21,0.001618,0.000900,0.000497,0.000522,0.001440
pb2,22,0.001615,0.000937,0.000492,0.000522,0.001355
pb2,23,0.001630,0.000916,0.000476,0.000539,0.001449
pb2,24,0.001620,0.000914,0.000473,0.000522,0.001498
pb2,25,0.001621,0.000916,0.000473,0.000529,0.001530
pb2,26,0.001618,0.000941,0.000506,0.000512,0.001580
pb2,27,0.001699,0.001181,0.000494,0.000537,0.001546
pb2,28,0.001623,0.000939,0.000489,0.000533,0.001480
pb2,29,0.001634,0.000935,0.000489,0.000531,0.001448
pb2,30,0.001614,0.000942,0.000491,0.000534,0.001426
pb2,31,0.001610,0.000918,0.000488,0.000540,0.001382
pb2,32,0.001610,0.000956,0.000489,0.000539,0.001437
pb2,33,0.001611,0.001632,0.000811,0.000548,0.001433
pb2,34,0.001617,0.000943,0.000490,0.000509,0.001354
pb2,35,0.001623,0.001646,0.000814,0.000523,0.001408
pb2,36,0.001621,0.000949,0.000488,0.000524,0.001542
pb2,37,0.001610,0.000944,0.000486,0.000511,0.001490
pb2,38,0.001610,0.000953,0.000488,0.000531,0.001432
pb2,39,0.001634,0.000945,0.000488,0.000511,0.001452
pb2,40,0.001615,0.001642,0.000806,0.000527,0.001341
pb2,41,0.001612,0.000935,0.000488,0.000527,0.001476
pb2,42,0.001613,0.000927,0.000489,0.000518,0.001338
pb2,43,0.001624,0.000943,0.000488,0.000512,0.001376
pb2,44,0.001610,0.000947,0.000486,0.000528,0.001404
pb2,45,0.001611,0.000947,0.000488,0.000522,0.001504
pb2,46,0.001612,0.000941,0.000490,0.000515,0.001444
