execution,sequentielle,paraSep2,paraSep4,paraSep8,paraSep12,paraSep16,paraComb2,paraComb4,paraComb8,paraComb12,paraComb16
1,0.091921,0.061373,0.044296,0.042658,0.042096,0.042381,0.061491,0.044465,0.041695,0.036412,0.036655
2,0.077076,0.053735,0.037957,0.036811,0.053773,0.039752,0.052733,0.038010,0.038774,0.037113,0.035290
3,0.076862,0.052739,0.037963,0.041126,0.036803,0.037316,0.052852,0.038048,0.041117,0.036478,0.039415
4,0.080216,0.080484,0.041503,0.037033,0.038936,0.036623,0.053009,0.037951,0.037216,0.036438,0.039794
5,0.076785,0.052572,0.038033,0.040757,0.038366,0.043867,0.059624,0.044327,0.039751,0.035990,0.036940
6,0.076601,0.052650,0.038149,0.036843,0.047218,0.045651,0.061433,0.044444,0.045523,0.036480,0.037209
7,0.076605,0.052552,0.037956,0.040540,0.036459,0.036142,0.052840,0.037741,0.036771,0.036453,0.036712
8,0.075343,0.052750,0.038249,0.040930,0.036074,0.038603,0.052726,0.038087,0.036592,0.036447,0.037033
9,0.076927,0.052579,0.037642,0.036930,0.036142,0.036837,0.052902,0.038051,0.040866,0.036306,0.035424
10,0.076952,0.052868,0.038125,0.036842,0.040699,0.042411,0.061442,0.044225,0.042077,0.041883,0.042526
11,0.089720,0.061435,0.044427,0.039041,0.036397,0.036406,0.051702,0.037352,0.036643,0.036296,0.037007
12,0.076978,0.052687,0.038081,0.036958,0.036306,0.036722,0.052908,0.037334,0.041090,0.036107,0.042532
13,0.089010,0.061509,0.044417,0.041545,0.037858,0.036510,0.052686,0.037520,0.036845,0.038315,0.036976
14,0.076178,0.052824,0.037975,0.037246,0.036501,0.035439,0.052768,0.037951,0.040815,0.036055,0.039862
15,0.077072,0.052556,0.038079,0.036667,0.036432,0.036665,0.052368,0.038001,0.040528,0.036322,0.036612
16,0.076965,0.052682,0.038042,0.036929,0.036600,0.036868,0.052847,0.037998,0.036802,0.036363,0.035510
17,0.088505,0.061048,0.044117,0.039253,0.036725,0.036610,0.052838,0.038021,0.040652,0.036338,0.036990
18,0.077067,0.052562,0.037933,0.036992,0.040907,0.042248,0.060145,0.044189,0.045603,0.036271,0.039607
19,0.077040,0.052662,0.037961,0.036896,0.037136,0.036855,0.052556,0.038039,0.040473,0.036601,0.036840
20,0.077077,0.052547,0.037886,0.036885,0.036121,0.038455,0.052656,0.038088,0.040410,0.036414,0.037421
21,0.077002,0.052596,0.038012,0.040777,0.036064,0.037231,0.052625,0.037978,0.040752,0.036140,0.038827
22,0.076867,0.052566,0.037877,0.040965,0.036378,0.036778,0.052726,0.037998,0.040824,0.036297,0.038506
23,0.076985,0.052593,0.037875,0.036801,0.036101,0.035271,0.052732,0.038040,0.036744,0.039845,0.035234
24,0.077128,0.052654,0.037995,0.036647,0.036512,0.039348,0.060604,0.044567,0.046123,0.041283,0.041332
25,0.076626,0.052633,0.038022,0.036858,0.060596,0.035586,0.052938,0.038525,0.040815,0.036428,0.038345
26,0.076999,0.052618,0.038087,0.040731,0.036428,0.036983,0.052689,0.037999,0.040673,0.036126,0.035315
27,0.076834,0.052548,0.037951,0.040863,0.039141,0.039939,0.052985,0.037927,0.040784,0.036454,0.038742
28,0.077022,0.052766,0.037971,0.036676,0.036422,0.035441,0.060977,0.044349,0.046807,0.036623,0.036535
29,0.088813,0.061375,0.044125,0.042510,0.041745,0.036813,0.068068,0.038049,0.036604,0.035991,0.035237
30,0.076544,0.052706,0.037984,0.040797,0.036455,0.038762,0.052698,0.037893,0.040833,0.040453,0.036116
31,0.077106,0.080119,0.053930,0.036944,0.036241,0.043413,0.060033,0.038472,0.040864,0.036000,0.041408
32,0.076925,0.052645,0.038085,0.037212,0.036525,0.035763,0.052786,0.038027,0.036847,0.036818,0.036935
33,0.077171,0.052658,0.037881,0.040941,0.036414,0.038856,0.052704,0.038100,0.036982,0.036348,0.036236
34,0.077091,0.052623,0.038010,0.040700,0.041168,0.038930,0.052729,0.038035,0.036981,0.037908,0.042189
35,0.089975,0.061521,0.044271,0.042313,0.050759,0.034030,0.080290,0.043643,0.036787,0.041271,0.042415
36,0.076393,0.052574,0.037860,0.036752,0.036450,0.039206,0.052740,0.038011,0.043591,0.036341,0.036653
37,0.077060,0.052586,0.038016,0.036675,0.036448,0.040612,0.086893,0.052572,0.039192,0.041456,0.043545
38,0.077076,0.053028,0.038269,0.039664,0.041837,0.041622,0.060957,0.044355,0.046825,0.041630,0.041995
39,0.088443,0.060895,0.044340,0.041733,0.041704,0.042740,0.060710,0.044285,0.045071,0.036213,0.039629
40,0.088159,0.077421,0.044181,0.041905,0.040531,0.041842,0.061332,0.044351,0.043184,0.041685,0.035304
41,0.077214,0.080247,0.053705,0.036712,0.036432,0.038986,0.052616,0.037947,0.040471,0.038471,0.038163
42,0.077062,0.052591,0.037960,0.052491,0.065837,0.045146,0.060250,0.044342,0.046422,0.041626,0.043803
43,0.077195,0.052565,0.038060,0.036896,0.041682,0.042317,0.053452,0.038027,0.040793,0.044871,0.044847
44,0.087780,0.061063,0.044256,0.042605,0.042198,0.042130,0.060398,0.044310,0.041585,0.039692,0.042888
45,0.088252,0.087334,0.043719,0.040827,0.036322,0.038235,0.052673,0.038034,0.042525,0.041387,0.037182
46,0.088546,0.061025,0.044179,0.037636,0.039395,0.041452,0.061400,0.044217,0.045997,0.036222,0.039533
47,0.088115,0.060989,0.044356,0.041623,0.041581,0.041202,0.052745,0.038034,0.042695,0.041873,0.042344
48,0.089083,0.061230,0.044474,0.042315,0.041135,0.042117,0.061307,0.044053,0.041255,0.036444,0.038117
49,0.077005,0.052702,0.038049,0.037027,0.036398,0.044067,0.052953,0.038204,0.036893,0.040794,0.037143
50,0.077224,0.068152,0.037874,0.036934,0.039102,0.037017,0.060555,0.044333,0.042252,0.040130,0.036817
51,0.076940,0.052641,0.037830,0.039293,0.039211,0.037184,0.052919,0.038142,0.037125,0.041624,0.042579
52,0.088797,0.061072,0.044256,0.042093,0.041495,0.037177,0.052511,0.038001,0.040322,0.036636,0.041484
53,0.088926,0.085763,0.043722,0.037379,0.036459,0.036339,0.052712,0.037941,0.036753,0.036552,0.041291
54,0.076693,0.052518,0.037886,0.038894,0.037399,0.043532,0.052751,0.039376,0.039148,0.036292,0.041935
55,0.076868,0.052641,0.038275,0.042982,0.036902,0.033807,0.052945,0.038233,0.036881,0.039234,0.041148
56,0.088388,0.060948,0.044276,0.041796,0.041652,0.042670,0.092027,0.043670,0.037429,0.037695,0.041427
57,0.085910,0.060422,0.044309,0.037633,0.037608,0.037403,0.052777,0.038034,0.041139,0.037375,0.035509
58,0.088626,0.089226,0.050598,0.041353,0.040327,0.037202,0.052680,0.038021,0.040991,0.042144,0.042507
59,0.088748,0.061112,0.044155,0.046921,0.041681,0.041581,0.061380,0.044426,0.046935,0.041449,0.042489
60,0.079069,0.052579,0.038070,0.040604,0.038922,0.037306,0.052647,0.038099,0.036749,0.039484,0.037488
61,0.077205,0.052640,0.037925,0.041042,0.050441,0.045826,0.062062,0.044376,0.041854,0.036678,0.037016
62,0.089817,0.061295,0.047509,0.041601,0.037119,0.035123,0.053245,0.037929,0.037290,0.036356,0.036863
63,0.076797,0.052635,0.038147,0.043757,0.041802,0.044358,0.061472,0.044694,0.046488,0.041327,0.039072
64,0.076992,0.052566,0.038087,0.037416,0.042045,0.042721,0.061922,0.044419,0.042326,0.041420,0.042394
65,0.088412,0.061288,0.044366,0.041571,0.042650,0.043018,0.062393,0.044278,0.047665,0.057225,0.044325
66,0.089237,0.061130,0.044326,0.046504,0.042093,0.044883,0.061471,0.044257,0.045780,0.042564,0.042650
67,0.089972,0.061108,0.044352,0.046900,0.043828,0.044949,0.061941,0.045236,0.047023,0.055840,0.041881
68,0.088515,0.061267,0.044392,0.041966,0.041177,0.041605,0.055348,0.038095,0.041626,0.042493,0.042655
69,0.089897,0.061644,0.044435,0.042555,0.042702,0.041542,0.064327,0.044433,0.046918,0.041834,0.037146
70,0.077016,0.052582,0.037847,0.039849,0.041127,0.036000,0.052950,0.037997,0.042214,0.041844,0.042064
71,0.088528,0.061442,0.044280,0.041644,0.039534,0.036280,0.052594,0.038081,0.036876,0.036314,0.036677
72,0.077091,0.052657,0.037868,0.042685,0.036641,0.040862,0.061605,0.044351,0.046963,0.042159,0.042226
73,0.088739,0.061172,0.044321,0.041772,0.036594,0.041838,0.059734,0.044200,0.039485,0.058751,0.041764
74,0.087421,0.061182,0.044252,0.046479,0.042232,0.039307,0.061075,0.044312,0.046932,0.037681,0.036832
75,0.076951,0.052613,0.037861,0.039332,0.042105,0.041615,0.061966,0.044219,0.037416,0.038425,0.039487
76,0.077065,0.074716,0.044441,0.041910,0.042746,0.042783,0.061462,0.044360,0.041941,0.041607,0.041514
77,0.089878,0.063659,0.044297,0.038359,0.038010,0.037026,0.052676,0.038050,0.039530,0.039514,0.036950
78,0.088548,0.061659,0.044260,0.047309,0.050291,0.043906,0.061499,0.044427,0.042280,0.042090,0.041934
79,0.089690,0.061153,0.044320,0.040773,0.041750,0.041250,0.092101,0.057696,0.042399,0.046248,0.040250
80,0.089946,0.062539,0.043617,0.047120,0.041955,0.043748,0.092374,0.062323,0.047032,0.042295,0.040269
81,0.077207,0.052654,0.037880,0.036822,0.039679,0.040832,0.053348,0.038002,0.043930,0.039377,0.042076
82,0.088362,0.060964,0.044206,0.041246,0.041539,0.040729,0.061427,0.044384,0.042034,0.036464,0.036339
83,0.077060,0.052703,0.037939,0.040912,0.040902,0.043829,0.060210,0.044283,0.047119,0.041257,0.043097
84,0.077131,0.052750,0.037907,0.043897,0.039915,0.046547,0.061393,0.044270,0.046764,0.040961,0.037161
85,0.076599,0.052538,0.038112,0.041710,0.041687,0.042481,0.052601,0.037992,0.045502,0.042453,0.041754
86,0.089654,0.061424,0.044249,0.041479,0.042396,0.042697,0.061473,0.044329,0.046088,0.036963,0.038924
87,0.088260,0.061360,0.044279,0.046831,0.039267,0.044401,0.093134,0.043934,0.046386,0.041967,0.040201
88,0.086695,0.061260,0.044163,0.042025,0.038232,0.040055,0.061365,0.044219,0.046356,0.036736,0.044216
89,0.089930,0.060879,0.044261,0.047379,0.042218,0.041927,0.060565,0.044426,0.042120,0.049338,0.049053
90,0.088931,0.060882,0.044330,0.041941,0.052860,0.041559,0.060315,0.044365,0.042386,0.041863,0.041596
91,0.077011,0.052647,0.037850,0.043185,0.038781,0.043390,0.060630,0.044268,0.047068,0.041889,0.041255
92,0.088102,0.061250,0.044134,0.042176,0.040966,0.042157,0.060469,0.044381,0.041343,0.050001,0.046031
93,0.089369,0.061107,0.044144,0.041053,0.041741,0.040471,0.061232,0.044250,0.040002,0.041195,0.042269
94,0.089198,0.061369,0.044328,0.046966,0.041474,0.043897,0.090917,0.041919,0.039556,0.036758,0.041700
95,0.088980,0.061218,0.044437,0.040898,0.040465,0.037506,0.053261,0.038203,0.042423,0.036305,0.042136
96,0.078713,0.064790,0.037966,0.038644,0.038330,0.040490,0.090682,0.049862,0.041927,0.036563,0.039504
97,0.076814,0.052675,0.040638,0.046048,0.040666,0.039545,0.052970,0.037968,0.045716,0.041203,0.042333
98,0.090441,0.066619,0.044254,0.042481,0.042051,0.042365,0.060906,0.044297,0.041778,0.040750,0.042146
99,0.089959,0.060723,0.044242,0.039520,0.039470,0.043187,0.060885,0.044450,0.042076,0.041543,0.040746
100,0.088682,0.061049,0.044155,0.042486,0.040786,0.042151,0.076865,0.044359,0.046429,0.038740,0.044514
