execution,seq,para4,para8,para16
1,0.106939,0.038246,0.035825,0.269709
2,0.107253,0.037112,0.037645,0.231268
3,0.108788,0.037499,0.031356,0.233832
4,0.106344,0.045118,0.035825,0.229163
5,0.093260,0.043364,0.034326,0.226037
6,0.092779,0.033727,0.032138,0.194278
7,0.093157,0.054279,0.030541,0.204917
8,0.092900,0.046143,0.029349,0.197779
9,0.095189,0.043271,0.026317,0.198830
10,0.093091,0.033976,0.030309,0.204447
11,0.093261,0.034076,0.030086,0.198026
12,0.093129,0.034164,0.030691,0.198285
13,0.092897,0.033901,0.029193,0.204976
14,0.093088,0.039706,0.032823,0.201482
15,0.093118,0.039245,0.083380,0.205091
16,0.093142,0.042331,0.033177,0.199519
17,0.104667,0.034147,0.032607,0.199419
18,0.106463,0.039804,0.097830,0.230537
19,0.092307,0.035730,0.032829,0.224171
20,0.093103,0.034134,0.030809,0.200134
21,0.092316,0.048937,0.028495,0.200256
22,0.091837,0.034041,0.028698,0.199129
23,0.093220,0.046173,0.033881,0.199849
24,0.092835,0.033841,0.031282,0.201959
25,0.092785,0.038879,0.030212,0.202841
26,0.093134,0.034253,0.029948,0.205495
27,0.093086,0.035864,0.032604,0.201805
28,0.093138,0.034137,0.030107,0.199535
29,0.093129,0.033667,0.036666,0.204907
30,0.093130,0.039464,0.030299,0.203568
31,0.091998,0.034143,0.032844,0.197772
32,0.093163,0.034061,0.031456,0.210253
33,0.093095,0.044611,0.025612,0.200428
34,0.093158,0.047245,0.028628,0.204350
35,0.093143,0.033929,0.027124,0.201371
36,0.093338,0.053107,0.033569,0.199677
37,0.106608,0.058694,0.032190,0.202686
38,0.106055,0.039024,0.031818,0.223602
39,0.093178,0.034078,0.030854,0.228568
40,0.093085,0.047739,0.041373,0.202831
41,0.092665,0.034051,0.033562,0.199468
42,0.105739,0.044332,0.028828,0.198913
43,0.092550,0.035007,0.032539,0.226604
44,0.092992,0.033850,0.031191,0.206658
45,0.092496,0.033694,0.028833,0.204514
46,0.093209,0.034033,0.030292,0.199695
47,0.093119,0.055567,0.028971,0.197932
48,0.092277,0.033723,0.033016,0.203569
49,0.093009,0.034236,0.031123,0.200096
50,0.095426,0.039725,0.032541,0.201933
51,0.093068,0.033473,0.030569,0.203903
52,0.093028,0.034551,0.032017,0.200724
53,0.093090,0.055782,0.050779,0.214982
54,0.093130,0.034427,0.029779,0.199191
55,0.093287,0.034144,0.027911,0.201944
56,0.093191,0.034025,0.034853,0.224318
57,0.092753,0.034037,0.033553,0.216689
58,0.093188,0.034212,0.052527,0.199310
59,0.093084,0.034571,0.030169,0.204665
60,0.104812,0.039744,0.032307,0.211380
61,0.105417,0.036109,0.040315,0.211176
62,0.095597,0.046664,0.029989,0.227028
63,0.093102,0.034890,0.030531,0.206038
64,0.106886,0.034164,0.031823,0.223571
65,0.093165,0.036043,0.036122,0.225566
66,0.093239,0.036987,0.035058,0.206020
67,0.093104,0.036764,0.032793,0.215004
68,0.093170,0.034056,0.031159,0.220866
69,0.093075,0.038520,0.031277,0.220807
70,0.093196,0.053385,0.027311,0.198911
71,0.093121,0.047174,0.032760,0.215850
72,0.105709,0.037464,0.034071,0.214990
73,0.093276,0.034118,0.085871,0.225135
74,0.093177,0.044666,0.028697,0.229691
75,0.105464,0.037689,0.036855,0.198858
76,0.093175,0.034704,0.038276,0.227137
77,0.093200,0.034124,0.030634,0.221557
78,0.093224,0.034124,0.030107,0.201118
79,0.105437,0.042373,0.027025,0.199168
80,0.093200,0.044103,0.029030,0.235627
81,0.093222,0.034063,0.029949,0.196084
82,0.093305,0.034863,0.031442,0.203372
83,0.106779,0.038428,0.030534,0.199229
84,0.106406,0.055412,0.034742,0.264559
85,0.093127,0.046943,0.029347,0.232628
86,0.092885,0.038625,0.030373,0.199100
87,0.093968,0.044396,0.034758,0.223141
88,0.106373,0.044201,0.031519,0.220776
89,0.093177,0.034022,0.031684,0.227538
90,0.104185,0.035803,0.036941,0.195938
91,0.093211,0.034143,0.031137,0.232579
92,0.093253,0.034129,0.032629,0.223707
93,0.103194,0.034109,0.072990,0.203363
94,0.093120,0.034072,0.031405,0.231679
95,0.093106,0.038311,0.032349,0.223524
96,0.106511,0.054399,0.034925,0.224244
97,0.093089,0.035087,0.037627,0.226529
98,0.093193,0.051835,0.035542,0.232702
99,0.093085,0.050482,0.031543,0.207394
100,0.111989,0.038778,0.030875,0.195313
